[DEBUG] [2021-01-28 20:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f1d44165d5cc4130a9738fcf9f011af9, msgType : 19
[DEBUG] [2021-01-28 20:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aef29900ed7a400f938cafdeebf7570a, msgType : 19
[DEBUG] [2021-01-28 20:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 10dac8418ae640a38f6038d35a371d91, msgType : 19
[DEBUG] [2021-01-28 20:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d9f490578ca048139febb281bc423556, msgType : 18
[DEBUG] [2021-01-28 20:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b408f3c820c9420da4dec80c796254bb, msgType : 18
[DEBUG] [2021-01-28 20:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : da68977983e747c5bc2618fb3c8a53cb, msgType : 19
[DEBUG] [2021-01-28 20:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 289b0f16f91a48d3b924209c3ab72f2b, msgType : 19
[DEBUG] [2021-01-28 20:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f88ab0f16a26444db53aae04b3dd3438, msgType : 19
[DEBUG] [2021-01-28 20:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 977315386e60430293362323b3b7344f, msgType : 19
[DEBUG] [2021-01-28 20:02:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c2a7d5fd2a894644afe489d1bd8a9be4, msgType : 19
[DEBUG] [2021-01-28 20:02:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9926dfc8d28e4c70a1f912ff8871bc89, msgType : 19
[DEBUG] [2021-01-28 20:02:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 91714525c8814781b809cf30d71c3723, msgType : 19
[DEBUG] [2021-01-28 20:02:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fb4414fa89c44a608b797c67b0d50f65, msgType : 19
[DEBUG] [2021-01-28 20:02:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f130b68ac7e946f2931010b138f5def3, msgType : 19
[DEBUG] [2021-01-28 20:02:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b75dafb66b5f4b62be180f96972cccee, msgType : 19
[DEBUG] [2021-01-28 20:02:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 71b7ec7101264f359d2a5df0cb3c10e6, msgType : 19
[DEBUG] [2021-01-28 20:02:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6251f54d6c2f47d6bf42bfcf04b55e81, msgType : 19
[DEBUG] [2021-01-28 20:02:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 765f40018bd14ab1b0d22d241825bef6, msgType : 19
[DEBUG] [2021-01-28 20:02:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3d194ed7a1f44892b786cc0fb174776c, msgType : 19
[DEBUG] [2021-01-28 20:02:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dd66efcd88b24ba8b268111b6e737d5a, msgType : 19
[DEBUG] [2021-01-28 20:02:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ef4f9f3593e6475fb7f61438f1cb3b6f, msgType : 19
[DEBUG] [2021-01-28 20:02:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dae84d1fdda74e369ff83f2f08b4c413, msgType : 19
[DEBUG] [2021-01-28 20:02:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 086217c030e2409098970d7e45e26d01, msgType : 19
[DEBUG] [2021-01-28 20:02:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9ae128839797412693016342351cc002, msgType : 19
[DEBUG] [2021-01-28 20:02:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 769e76c3528445209a9e5bb50dc292d3, msgType : 19
[DEBUG] [2021-01-28 20:02:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bdab1f6ffe984417a04e598aa3c1b820, msgType : 19
[DEBUG] [2021-01-28 20:02:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 49109016b7334cd88299d81b7a1dde0c, msgType : 19
[DEBUG] [2021-01-28 20:02:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 55590bbc02004aedb022c412e6d5b8e0, msgType : 19
[DEBUG] [2021-01-28 20:02:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3f43977831dc4eb6b5a0afc65a09aefb, msgType : 19
[DEBUG] [2021-01-28 20:02:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ee78ad27a23c44f6b53fae52cf3e72ad, msgType : 19
[DEBUG] [2021-01-28 20:02:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8ac75a1269a24303b3faca5c1eaf13ec, msgType : 19
[DEBUG] [2021-01-28 20:02:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 96204496959f4e5584d60c9f91135a42, msgType : 19
[DEBUG] [2021-01-28 20:02:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 09d4868f88ea4139a290869959ad585f, msgType : 19
[INFO] [2021-01-28 20:02:34] AssetClient.loadAssetAddr(75) |  load Asset address from contract.properties, address is 0x296cd100fc0c591b8bb5c0bb010019a18011d6cd
[DEBUG] [2021-01-28 20:02:34] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.6.0, supportedVersion:2.6.0
[DEBUG] [2021-01-28 20:02:34] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f096ee2587a74135807f1d97d5e7ec01, msgType : 18
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:34] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 86, groupId: 1
[DEBUG] [2021-01-28 20:02:34] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 86, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f096ee2587a74135807f1d97d5e7ec01, msgType : 4096
[DEBUG] [2021-01-28 20:02:34] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 86, groupId: 1
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:34] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 86, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-28 20:02:34] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 222259c45a894849beafefc97c7fbb29, msgType : 19
[DEBUG] [2021-01-28 20:02:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9c1dd0cce3db4bdf9f7425887197dc00, msgType : 19
[DEBUG] [2021-01-28 20:02:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d9d98643140499c9dbea8690b223336, msgType : 19
[DEBUG] [2021-01-28 20:02:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b31cfd6d65b74840a8c4ec11534e462a, msgType : 19
[DEBUG] [2021-01-28 20:02:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7fec004f764f44f6bb1308616f88f624, msgType : 19
[DEBUG] [2021-01-28 20:02:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b0d9ea1300bd403a97c2183125e274e3, msgType : 19
[INFO] [2021-01-28 20:02:40] AssetClient.loadAssetAddr(75) |  load Asset address from contract.properties, address is 0x296cd100fc0c591b8bb5c0bb010019a18011d6cd
[DEBUG] [2021-01-28 20:02:40] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.6.0, supportedVersion:2.6.0
[DEBUG] [2021-01-28 20:02:40] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5dcc0c9efa844f3e8fd2088a90c5c544, msgType : 18
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:40] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 87, groupId: 1
[DEBUG] [2021-01-28 20:02:40] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 87, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:40] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 87, groupId: 1
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5dcc0c9efa844f3e8fd2088a90c5c544, msgType : 4096
[DEBUG] [2021-01-28 20:02:40] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 87, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-28 20:02:40] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:02:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fb7751009aaf461fb5013e855a4cb32e, msgType : 19
[DEBUG] [2021-01-28 20:02:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c0edd93ea860494ca2ae2696aebd21ee, msgType : 19
[INFO] [2021-01-28 20:02:42] AssetClient.loadAssetAddr(75) |  load Asset address from contract.properties, address is 0x296cd100fc0c591b8bb5c0bb010019a18011d6cd
[DEBUG] [2021-01-28 20:02:42] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.6.0, supportedVersion:2.6.0
[DEBUG] [2021-01-28 20:02:42] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 20:02:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2ce6b05b613a4b36b54f80d81bb2e56f, msgType : 18
[DEBUG] [2021-01-28 20:02:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ff4a84ff503241758f5e98b982831d6e, msgType : 19
[DEBUG] [2021-01-28 20:02:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 05ef86f8c76f488b836a3595b6b473cb, msgType : 19
[DEBUG] [2021-01-28 20:02:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a132c0dd0e4d413fa0190cc01423624a, msgType : 19
[DEBUG] [2021-01-28 20:02:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ec77a99cd35d44dfb249529f8a238975, msgType : 19
[DEBUG] [2021-01-28 20:02:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8971aa73566d4e34a93edb8325028400, msgType : 19
[DEBUG] [2021-01-28 20:02:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 70a0b1e138004054b6c8f05b89c7ae32, msgType : 19
[DEBUG] [2021-01-28 20:02:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6061d954bd8c488b9719182594d6f036, msgType : 19
[DEBUG] [2021-01-28 20:02:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 11f576139553493db78745b1d9915c21, msgType : 19
[DEBUG] [2021-01-28 20:02:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5886284e4974524a2dfd61cfd7c2da9, msgType : 19
[DEBUG] [2021-01-28 20:02:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b7684226acaa4001b6a696214f73c109, msgType : 19
[DEBUG] [2021-01-28 20:02:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 05537a115df64e4ea798644cc8e149e3, msgType : 19
[DEBUG] [2021-01-28 20:02:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c8ba0668e1f7437d926e132e467a9bfb, msgType : 19
[DEBUG] [2021-01-28 20:02:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ffa779e7a13b427cba958e28aae046a0, msgType : 19
[DEBUG] [2021-01-28 20:02:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d8b23e327e8245f1aecc0b2b6804fbcf, msgType : 19
[DEBUG] [2021-01-28 20:02:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 73da042d670f420fbf1ccde2d9531858, msgType : 19
[DEBUG] [2021-01-28 20:02:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f87de024482a47c69522d4a662bef3ed, msgType : 19
[DEBUG] [2021-01-28 20:02:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : edfa97d7d82a483581a545acde158d9d, msgType : 19
[DEBUG] [2021-01-28 20:02:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d0dc4d46ae64998b91de522368c0f2d, msgType : 19
[DEBUG] [2021-01-28 20:03:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c4db0ca1a06e415497af3cb6413107c0, msgType : 19
[DEBUG] [2021-01-28 20:03:01] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 20:03:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d0506048334f4418860103c5a1da32eb, msgType : 19
[DEBUG] [2021-01-28 20:03:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a1c02f7fc97c4f6da58765aabb9d7e6e, msgType : 19
[DEBUG] [2021-01-28 20:03:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9457a18b70924ea0b9e48c065ad565e7, msgType : 19
[DEBUG] [2021-01-28 20:03:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3eb38472739e403ead19aee55be7e8bd, msgType : 19
[DEBUG] [2021-01-28 20:03:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 17a2e5d9ad564b8bbb0dace328ac4d60, msgType : 19
[DEBUG] [2021-01-28 20:03:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 662aaca120d2475888c8b84d1b0042a2, msgType : 18
[DEBUG] [2021-01-28 20:03:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f67d8626e9b841069adc0c9a7d3eb63e, msgType : 18
[DEBUG] [2021-01-28 20:03:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4fab408034c94a4da1d64c78bd31382a, msgType : 19
[DEBUG] [2021-01-28 20:03:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1809cc0e6c7a437a9df2cd8863c35651, msgType : 19
[DEBUG] [2021-01-28 20:03:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2cdd7015d82948c0932d014b63f3a0fa, msgType : 19
[DEBUG] [2021-01-28 20:03:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 93d07ac75a30412c8490b16549c742df, msgType : 19
[DEBUG] [2021-01-28 20:03:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 67f3109fb71c462ebd0917df0f750ed0, msgType : 19
[DEBUG] [2021-01-28 20:03:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7f80b3cd11f24a3dab23bc8ca6ff6d59, msgType : 19
[DEBUG] [2021-01-28 20:03:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3a258905a840479ea0991c04e2e6504c, msgType : 19
[DEBUG] [2021-01-28 20:03:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c0fe8212b6244de791b331fe76bbcd87, msgType : 19
[DEBUG] [2021-01-28 20:03:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 84742c415781442d86e671f585dce307, msgType : 19
[DEBUG] [2021-01-28 20:03:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5c8c3dddbebd44a79b1764378b462d7f, msgType : 19
[DEBUG] [2021-01-28 20:03:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8ad33ea583e042b7a05e9d2a3eca14a2, msgType : 19
[DEBUG] [2021-01-28 20:03:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9268764f62c041de909aa4a540e5cac2, msgType : 19
[DEBUG] [2021-01-28 20:03:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5ee2c49e252242179fe90e77372030f5, msgType : 19
[DEBUG] [2021-01-28 20:03:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f7cb257c77da47f39fb6c69d02928612, msgType : 19
[DEBUG] [2021-01-28 20:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b56014c949ce4872ace521bf37ca8656, msgType : 19
[DEBUG] [2021-01-28 20:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 024ca9307f0d4588a49b53e137ce7c1d, msgType : 19
[DEBUG] [2021-01-28 20:03:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d6b97762e0124ef396c82102a838e656, msgType : 19
[DEBUG] [2021-01-28 20:03:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d3b4c3533490459689bcb8343d236b61, msgType : 19
[DEBUG] [2021-01-28 20:03:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7ce816667ef34473bc984110328956f4, msgType : 19
[DEBUG] [2021-01-28 20:03:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7da54bcb0ec94ecdbc48136c6aa8ccee, msgType : 19
[DEBUG] [2021-01-28 20:03:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 527ad784c55f457da1e8d7e67018e32d, msgType : 19
[DEBUG] [2021-01-28 20:03:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1c83555cbf4240ca80af9d59a7d079f5, msgType : 19
[DEBUG] [2021-01-28 20:03:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aeee0a295dd94424a8e66a7b314b74a5, msgType : 19
[DEBUG] [2021-01-28 20:03:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 62e7ec02f70741a3b6ce9c9bf5281e97, msgType : 19
[DEBUG] [2021-01-28 20:03:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2bc35d6d342a46cf8365d5f119a27296, msgType : 19
[DEBUG] [2021-01-28 20:03:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 83c48aecdd054fd995ff22fa24fb72b1, msgType : 19
[DEBUG] [2021-01-28 20:03:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 09504a1367344fbdae436ee01a759f8d, msgType : 19
[DEBUG] [2021-01-28 20:03:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6adfe1367b8b4555a362f90329f3317a, msgType : 19
[DEBUG] [2021-01-28 20:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : faef485c752248f58e7643c2f743eb36, msgType : 19
[DEBUG] [2021-01-28 20:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8830e4aab38d4f12b5d1c68298440936, msgType : 19
[DEBUG] [2021-01-28 20:03:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e7061d0b8e8a416fb7886c7d7c7cc0b9, msgType : 19
[DEBUG] [2021-01-28 20:03:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 161e356f613b4cd993672aa0c310dfae, msgType : 19
[DEBUG] [2021-01-28 20:03:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b6668cc60d9d467a907cd04ce8a32d02, msgType : 19
[DEBUG] [2021-01-28 20:03:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7a9b50686c1840ab919e614d880ab48a, msgType : 19
[DEBUG] [2021-01-28 20:03:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 66f27199edc94eba95a7a147267a2310, msgType : 19
[DEBUG] [2021-01-28 20:03:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9e0fd919455e42a7a7a07c0b34854e6d, msgType : 19
[DEBUG] [2021-01-28 20:03:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8ccafd9f608444e8977edc837645300b, msgType : 19
[DEBUG] [2021-01-28 20:03:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9dd3748251204e78a8362f3b11659979, msgType : 19
[DEBUG] [2021-01-28 20:03:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4295e5b2ffad439ba5c5ff88de1d79a7, msgType : 19
[DEBUG] [2021-01-28 20:03:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4b34712c71f14759bfd1751e523194de, msgType : 19
[DEBUG] [2021-01-28 20:03:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 11bd184cacf3493bbe2d5801ba42aa57, msgType : 19
